Smiles,ligandSmile
[4*]C(F)(F)F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[7*]c1cc(N)cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H](C)Nc1ncnc2cc3[nH]cnc3cc12,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[9*][C@H](C)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[7*]Nc1ncnc2cc3[nH]cnc3cc12,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[10*]N[C@H](C)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[9*]c1ncnc2cc3[nH]cnc3cc12,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([4*])(F)F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([4*])(F)F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C([4*])(F)F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H]([8*])Nc1ncnc2cc3[nH]cnc3cc12,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[6*][C@H]([9*])C,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H](C)N[10*],C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[7*]c1cc([25*])cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H]([9*])c1cc(N)cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H](N[10*])c1cc(N)cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[9*][C@H](C)c1cc([25*])cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[10*]N[C@H](C)c1cc([25*])cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([4*])F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])([4*])F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])([4*])F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H]([8*])N[10*],C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H]([9*])c1cc([25*])cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H](N[10*])c1cc([25*])cc(C(F)(F)F)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([25*])cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([25*])cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[4*]C(F)(F)F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[7*]c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H](C)NC(=O)c1ccc2nc[nH]c2c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[9*][C@H](C)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[7*]NC(=O)c1ccc2nc[nH]c2c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[11*]C(=O)N[C@H](C)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[10*]c1ccc2nc[nH]c2c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[10*]N[C@H](C)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[9*]C(=O)c1ccc2nc[nH]c2c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([4*])(F)F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([4*])(F)F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C([4*])(F)F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
