Smiles,ligandSmile
[1*]c1cc(N)cc([C@@H]([8*])NC(=O)c2ccc3nc[nH]c3c2)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H](C)NC(=O)c2ccc3nc[nH]c3c2)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H]([8*])NC(=O)c1ccc2nc[nH]c2c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@H]([9*])C,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H](C)NC([11*])=O,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[7*]c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H](C)N[10*],C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H]([9*])c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H](NC([11*])=O)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H](N[10*])c1cc(N)cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[7*]NC([11*])=O,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[9*][C@H](C)c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[11*]C(=O)N[C@H](C)c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[9*]C([11*])=O,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[10*]N[C@H](C)c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([4*])F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])([4*])F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])([4*])F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H]([8*])NC(=O)c2ccc3nc[nH]c3c2)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H]([8*])NC([11*])=O,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[6*][C@@H]([8*])N[10*],C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H]([9*])c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H](NC([11*])=O)c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[8*][C@@H](N[10*])c1cc([23*])cc(C(F)(F)F)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@@H]([8*])NC(=O)c2ccc3nc[nH]c3c2)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])(F)c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([2*])([3*])c1cc([23*])cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
